Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr1_c1_s32559.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr1_c1_s8236.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr5_c1_s23844.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr5_c1_s26657.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr5_c1_s8246.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr10_c1_s5379.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr10_c1_s5996.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr10_c1_s7194.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr1_c1_s14623.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr1_c1_s15604.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr1_c1_s16138.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr5_c1_s24018.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr5_c1_s2800.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r5_vr5_c1_s9855.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr10_c1_s15994.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr10_c1_s18160.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr10_c1_s30410.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr1_c1_s10576.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr1_c1_s22787.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr1_c1_s703.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s14336.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s29826.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s8938.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s18654.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s3680.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s8773.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s23882.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s24331.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s30331.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr5_c1_s25451.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr5_c1_s2807.smt2, -, -
